"BestAccuracy","NumberOfYears","Tendency"
0.833333333333333,"01 years","+01days"
0.57258064516129,"02 years","+01days"
0.59,"03 years","+01days"
0.545454545454545,"04 years","+01days"
0.56,"05 years","+01days"
0.528846153846154,"10 years","+01days"
0.6875,"01 years","+03days"
0.556451612903226,"02 years","+03days"
0.56,"03 years","+03days"
0.574545454545455,"04 years","+03days"
0.565714285714286,"05 years","+03days"
0.54532967032967,"10 years","+03days"
0.75,"01 years","+07days"
0.604838709677419,"02 years","+07days"
0.6,"03 years","+07days"
0.578181818181818,"04 years","+07days"
0.608571428571429,"05 years","+07days"
0.611263736263736,"10 years","+07days"
0.60989010989011,"01 years","+14days"
0.564516129032258,"02 years","+14days"
0.605,"03 years","+14days"
0.592727272727273,"04 years","+14days"
0.571428571428571,"05 years","+14days"
0.60989010989011,"10 years","+14days"
0.833333333333333,"01 years","+30days"
0.733870967741936,"02 years","+30days"
0.72,"03 years","+30days"
0.709090909090909,"04 years","+30days"
0.677142857142857,"05 years","+30days"
0.620879120879121,"10 years","+30days"
